route_id,date,distance,distance_norm,len_cs,len_et,file_cs,file_et,time_cs,time_et
0521_301,2022-05-31,0,0.0,148,148,0521_301-20220531\0521_301-20220531-060018-148-0.txt,0521_301-20220531\0521_301-20220531-064436-148-148.txt,060018,064436
0521_301,2022-06-01,1,0.007575757575757576,132,131,0521_301-20220601\0521_301-20220601-053916-132-0.txt,0521_301-20220601\0521_301-20220601-062223-131-131.txt,053916,062223
0521_301,2022-06-02,6,0.045112781954887216,133,133,0521_301-20220602\0521_301-20220602-054412-133-0.txt,0521_301-20220602\0521_301-20220602-054739-133-133.txt,054412,054739
0521_301,2022-06-03,0,0.0,103,103,0521_301-20220603\0521_301-20220603-054305-103-0.txt,0521_301-20220603\0521_301-20220603-063715-103-103.txt,054305,063715
0521_301,2022-06-07,4,0.03571428571428571,112,110,0521_301-20220607\0521_301-20220607-055703-112-0.txt,0521_301-20220607\0521_301-20220607-063933-110-110.txt,055703,063933
0521_301,2022-06-08,2,0.012048192771084338,166,166,0521_301-20220608\0521_301-20220608-054800-166-0.txt,0521_301-20220608\0521_301-20220608-063258-166-166.txt,054800,063258
0521_301,2022-06-09,7,0.047619047619047616,147,146,0521_301-20220609\0521_301-20220609-055332-147-0.txt,0521_301-20220609\0521_301-20220609-063137-146-146.txt,055332,063137
0521_301,2022-06-10,141,0.9657534246575342,146,142,0521_301-20220610\0521_301-20220610-054723-146-0.txt,0521_301-20220610\0521_301-20220610-063624-142-142.txt,054723,063624
0521_301,2022-06-13,0,0.0,145,145,0521_301-20220613\0521_301-20220613-061035-145-0.txt,0521_301-20220613\0521_301-20220613-065320-145-145.txt,061035,065320
0521_301,2022-06-14,6,0.03614457831325301,166,166,0521_301-20220614\0521_301-20220614-053753-167-0.txt,0521_301-20220614\0521_301-20220614-062909-166-166.txt,053753,062909
0521_301,2022-06-15,1,0.007042253521126761,142,141,0521_301-20220615\0521_301-20220615-053211-142-0.txt,0521_301-20220615\0521_301-20220615-061704-141-141.txt,053211,061704
0521_301,2022-06-17,7,0.06140350877192982,114,113,0521_301-20220617\0521_301-20220617-052959-114-0.txt,0521_301-20220617\0521_301-20220617-060456-113-113.txt,052959,060456
0521_301,2022-06-18,0,0.0,49,49,0521_301-20220618\0521_301-20220618-053622-49-0.txt,0521_301-20220618\0521_301-20220618-055328-49-49.txt,053622,055328
0521_301,2022-06-20,5,0.05102040816326531,98,97,0521_301-20220620\0521_301-20220620-054712-98-0.txt,0521_301-20220620\0521_301-20220620-061915-97-97.txt,054712,061915
0521_301,2022-06-21,4,0.028169014084507043,140,142,0521_301-20220621\0521_301-20220621-054529-142-0.txt,0521_301-20220621\0521_301-20220621-064156-142-142.txt,054529,064156
0521_301,2022-06-22,3,0.023076923076923078,130,129,0521_301-20220622\0521_301-20220622-053817-131-0.txt,0521_301-20220622\0521_301-20220622-061235-129-129.txt,053817,061235
0521_302,2022-05-31,6,0.04054054054054054,148,148,0521_302-20220531\0521_302-20220531-085845-148-0.txt,0521_302-20220531\0521_302-20220531-095010-148-148.txt,085845,095010
0521_302,2022-06-01,18,0.15,119,120,0521_302-20220601\0521_302-20220601-084336-119-0.txt,0521_302-20220601\0521_302-20220601-092712-120-120.txt,084336,092712
0521_302,2022-06-02,2,0.018867924528301886,104,106,0521_302-20220602\0521_302-20220602-083450-104-0.txt,0521_302-20220602\0521_302-20220602-091245-106-106.txt,083450,091245
0521_302,2022-06-03,4,0.032520325203252036,123,123,0521_302-20220603\0521_302-20220603-082733-123-0.txt,0521_302-20220603\0521_302-20220603-091803-123-123.txt,082733,091803
0521_302,2022-06-07,11,0.102803738317757,107,107,0521_302-20220607\0521_302-20220607-083126-107-0.txt,0521_302-20220607\0521_302-20220607-091028-107-107.txt,083126,091028
0521_302,2022-06-08,11,0.07432432432432433,147,148,0521_302-20220608\0521_302-20220608-084649-147-0.txt,0521_302-20220608\0521_302-20220608-094137-148-148.txt,084649,094137
0521_302,2022-06-09,0,0.0,121,121,0521_302-20220609\0521_302-20220609-084550-121-0.txt,0521_302-20220609\0521_302-20220609-092241-121-121.txt,084550,092241
0521_302,2022-06-10,10,0.0684931506849315,146,145,0521_302-20220610\0521_302-20220610-083203-146-0.txt,0521_302-20220610\0521_302-20220610-083923-145-145.txt,083203,083923
0521_302,2022-06-11,0,0.0,63,63,0521_302-20220611\0521_302-20220611-060624-63-0.txt,0521_302-20220611\0521_302-20220611-062837-63-63.txt,060624,062837
0521_302,2022-06-13,6,0.08108108108108109,74,74,0521_302-20220613\0521_302-20220613-082332-74-0.txt,0521_302-20220613\0521_302-20220613-085744-74-74.txt,082332,085744
0521_302,2022-06-14,7,0.05426356589147287,129,129,0521_302-20220614\0521_302-20220614-083124-129-0.txt,0521_302-20220614\0521_302-20220614-083721-129-129.txt,083124,083721
0521_302,2022-06-15,1,0.007462686567164179,133,134,0521_302-20220615\0521_302-20220615-084429-133-0.txt,0521_302-20220615\0521_302-20220615-094059-134-134.txt,084429,094059
0521_302,2022-06-16,30,0.2803738317757009,107,107,0521_302-20220616\0521_302-20220616-081807-107-0.txt,0521_302-20220616\0521_302-20220616-085738-107-107.txt,081807,085738
0521_302,2022-06-17,14,0.15053763440860216,93,93,0521_302-20220617\0521_302-20220617-081932-93-0.txt,0521_302-20220617\0521_302-20220617-085735-93-93.txt,081932,085735
0521_302,2022-06-20,0,0.0,82,82,0521_302-20220620\0521_302-20220620-081818-82-0.txt,0521_302-20220620\0521_302-20220620-084458-82-82.txt,081818,084458
0521_302,2022-06-21,8,0.0761904761904762,105,105,0521_302-20220621\0521_302-20220621-084605-105-0.txt,0521_302-20220621\0521_302-20220621-085136-105-105.txt,084605,085136
0521_302,2022-06-22,58,0.3945578231292517,147,147,0521_302-20220622\0521_302-20220622-083727-147-0.txt,0521_302-20220622\0521_302-20220622-084245-147-147.txt,083727,084245
0521_303,2022-05-31,85,0.5944055944055944,143,130,0521_303-20220531\0521_303-20220531-053710-143-0.txt,0521_303-20220531\0521_303-20220531-061117-130-130.txt,053710,061117
0521_303,2022-06-01,51,0.4015748031496063,127,124,0521_303-20220601\0521_303-20220601-053821-127-0.txt,0521_303-20220601\0521_303-20220601-060800-124-124.txt,053821,060800
0521_303,2022-06-02,84,0.6461538461538462,130,128,0521_303-20220602\0521_303-20220602-054351-130-0.txt,0521_303-20220602\0521_303-20220602-061510-128-128.txt,054351,061510
0521_303,2022-06-03,52,0.4369747899159664,119,115,0521_303-20220603\0521_303-20220603-053414-119-0.txt,0521_303-20220603\0521_303-20220603-055712-115-115.txt,053414,055712
0521_303,2022-06-07,42,0.45161290322580644,93,90,0521_303-20220607\0521_303-20220607-053146-93-0.txt,0521_303-20220607\0521_303-20220607-060344-90-90.txt,053146,060344
0521_303,2022-06-08,45,0.3082191780821918,146,144,0521_303-20220608\0521_303-20220608-053212-146-0.txt,0521_303-20220608\0521_303-20220608-060550-144-144.txt,053212,060550
0521_303,2022-06-09,58,0.48739495798319327,119,117,0521_303-20220609\0521_303-20220609-054936-119-0.txt,0521_303-20220609\0521_303-20220609-061413-117-117.txt,054936,061413
0521_303,2022-06-13,54,0.48214285714285715,112,106,0521_303-20220613\0521_303-20220613-054315-112-0.txt,0521_303-20220613\0521_303-20220613-060742-106-106.txt,054315,060742
0521_303,2022-06-14,75,0.5172413793103449,145,141,0521_303-20220614\0521_303-20220614-054341-145-0.txt,0521_303-20220614\0521_303-20220614-061943-141-141.txt,054341,061943
0521_303,2022-06-15,50,0.43859649122807015,114,112,0521_303-20220615\0521_303-20220615-053000-114-0.txt,0521_303-20220615\0521_303-20220615-060156-112-112.txt,053000,060156
0521_303,2022-06-17,69,0.5564516129032258,124,122,0521_303-20220617\0521_303-20220617-052525-124-0.txt,0521_303-20220617\0521_303-20220617-055632-122-122.txt,052525,055632
0521_303,2022-06-20,67,0.6504854368932039,95,103,0521_303-20220620\0521_303-20220620-052908-95-0.txt,0521_303-20220620\0521_303-20220620-060549-103-103.txt,052908,060549
0521_303,2022-06-21,57,0.4418604651162791,129,128,0521_303-20220621\0521_303-20220621-054117-129-0.txt,0521_303-20220621\0521_303-20220621-061909-128-128.txt,054117,061909
0521_303,2022-06-22,72,0.576,125,123,0521_303-20220622\0521_303-20220622-053019-125-0.txt,0521_303-20220622\0521_303-20220622-060220-123-123.txt,053019,060220
0521_304,2022-05-31,4,0.024691358024691357,162,160,0521_304-20220531\0521_304-20220531-054417-162-0.txt,0521_304-20220531\0521_304-20220531-062245-160-160.txt,054417,062245
0521_304,2022-06-01,3,0.0189873417721519,157,158,0521_304-20220601\0521_304-20220601-054439-157-0.txt,0521_304-20220601\0521_304-20220601-061546-158-158.txt,054439,061546
0521_304,2022-06-02,7,0.04929577464788732,142,141,0521_304-20220602\0521_304-20220602-053733-142-0.txt,0521_304-20220602\0521_304-20220602-061653-141-141.txt,053733,061653
0521_304,2022-06-03,52,0.37410071942446044,139,139,0521_304-20220603\0521_304-20220603-055006-139-0.txt,0521_304-20220603\0521_304-20220603-063720-139-139.txt,055006,063720
0521_304,2022-06-04,0,0.0,50,50,0521_304-20220604\0521_304-20220604-052928-50-0.txt,0521_304-20220604\0521_304-20220604-054512-50-50.txt,052928,054512
0521_304,2022-06-07,5,0.052083333333333336,96,95,0521_304-20220607\0521_304-20220607-051846-96-0.txt,0521_304-20220607\0521_304-20220607-055826-95-95.txt,051846,055826
0521_304,2022-06-08,33,0.2462686567164179,131,134,0521_304-20220608\0521_304-20220608-053216-131-0.txt,0521_304-20220608\0521_304-20220608-063013-134-134.txt,053216,063013
0521_304,2022-06-09,41,0.2949640287769784,139,136,0521_304-20220609\0521_304-20220609-053521-139-0.txt,0521_304-20220609\0521_304-20220609-063022-136-136.txt,053521,063022
0521_304,2022-06-10,12,0.0821917808219178,146,144,0521_304-20220610\0521_304-20220610-053939-146-0.txt,0521_304-20220610\0521_304-20220610-063639-144-144.txt,053939,063639
0521_304,2022-06-13,4,0.03278688524590164,122,122,0521_304-20220613\0521_304-20220613-054716-122-0.txt,0521_304-20220613\0521_304-20220613-061401-122-122.txt,054716,061401
0521_304,2022-06-14,14,0.08641975308641975,162,161,0521_304-20220614\0521_304-20220614-054513-162-0.txt,0521_304-20220614\0521_304-20220614-062732-161-161.txt,054513,062732
0521_304,2022-06-15,7,0.051094890510948905,137,136,0521_304-20220615\0521_304-20220615-053908-137-0.txt,0521_304-20220615\0521_304-20220615-061934-136-136.txt,053908,061934
0521_304,2022-06-17,6,0.05357142857142857,112,110,0521_304-20220617\0521_304-20220617-052921-112-0.txt,0521_304-20220617\0521_304-20220617-060954-110-110.txt,052921,060954
0521_304,2022-06-18,0,0.0,50,50,0521_304-20220618\0521_304-20220618-053555-50-0.txt,0521_304-20220618\0521_304-20220618-060202-50-50.txt,053555,060202
0521_304,2022-06-20,4,0.0392156862745098,102,100,0521_304-20220620\0521_304-20220620-052619-102-0.txt,0521_304-20220620\0521_304-20220620-055008-100-100.txt,052619,055008
0521_304,2022-06-21,1,0.006535947712418301,153,152,0521_304-20220621\0521_304-20220621-054000-153-0.txt,0521_304-20220621\0521_304-20220621-062835-152-152.txt,054000,062835
0521_304,2022-06-22,22,0.16541353383458646,131,133,0521_304-20220622\0521_304-20220622-052739-131-0.txt,0521_304-20220622\0521_304-20220622-061127-133-133.txt,052739,061127
0521_305,2022-05-31,73,0.5069444444444444,144,141,0521_305-20220531\0521_305-20220531-054016-144-0.txt,0521_305-20220531\0521_305-20220531-060818-141-141.txt,054016,060818
0521_305,2022-06-01,63,0.44680851063829785,141,141,0521_305-20220601\0521_305-20220601-052857-141-0.txt,0521_305-20220601\0521_305-20220601-060655-141-141.txt,052857,060655
0521_305,2022-06-02,62,0.43356643356643354,143,141,0521_305-20220602\0521_305-20220602-053629-143-0.txt,0521_305-20220602\0521_305-20220602-061315-141-141.txt,053629,061315
0521_305,2022-06-03,48,0.41379310344827586,116,114,0521_305-20220603\0521_305-20220603-052828-116-0.txt,0521_305-20220603\0521_305-20220603-055408-114-114.txt,052828,055408
0521_305,2022-06-07,42,0.42857142857142855,98,98,0521_305-20220607\0521_305-20220607-052039-98-0.txt,0521_305-20220607\0521_305-20220607-055007-98-98.txt,052039,055007
0521_305,2022-06-08,44,0.39285714285714285,112,112,0521_305-20220608\0521_305-20220608-052329-112-0.txt,0521_305-20220608\0521_305-20220608-052759-112-112.txt,052329,052759
0521_305,2022-06-09,65,0.4676258992805755,139,133,0521_305-20220609\0521_305-20220609-053036-139-0.txt,0521_305-20220609\0521_305-20220609-060347-133-133.txt,053036,060347
0521_305,2022-06-10,118,0.9672131147540983,122,122,0521_305-20220610\0521_305-20220610-054025-122-0.txt,0521_305-20220610\0521_305-20220610-061610-122-122.txt,054025,061610
